#  N   trapezoid     Simpsons      Gauss  
#-----------------------------------------
 237  1.588509e-06  1.447470e-08  1.087679e-07
 239  1.588509e-06  2.030610e-07  2.684048e-07
 241  1.494216e-06  2.030610e-07  5.512843e-07
 243  1.211336e-06  1.087679e-07  4.859405e-07
 245  9.284569e-07  2.030610e-07  3.626979e-07
 247  1.117043e-06  7.688200e-07  2.030610e-07
 249  1.494216e-06  1.240286e-06  7.981846e-08
 251  1.399923e-06  2.030610e-07  1.741116e-07
 253  1.022750e-06  1.447470e-08  3.626979e-07
 255  1.494216e-06  2.030610e-07  3.626979e-07
 257  1.871388e-06  2.030610e-07  1.447470e-08
 259  1.682802e-06  1.447470e-08  7.981846e-08
 261  1.211336e-06  4.859405e-07  1.087679e-07
 263  1.211336e-06  3.626979e-07  2.030610e-07
 265  1.305630e-06  5.512843e-07  2.030610e-07
 267  1.777095e-06  1.447470e-08  2.973542e-07
 269  1.305630e-06  1.741116e-07  1.741116e-07
 271  1.682802e-06  2.030610e-07  2.973542e-07
 273  1.211336e-06  3.626979e-07  7.981846e-08
 275  9.284569e-07  2.030610e-07  2.684048e-07
 277  1.682802e-06  2.684048e-07  1.741116e-07
 279  8.341637e-07  1.447470e-08  3.626979e-07
 281  1.871388e-06  2.684048e-07  6.455774e-07
 283  9.284569e-07  2.030610e-07  5.512843e-07
 285  9.284569e-07  2.030610e-07  6.455774e-07
 287  7.398706e-07  1.087679e-07  7.981846e-08
 289  8.341637e-07  1.087679e-07  2.684048e-07
 291  1.022750e-06  7.981846e-08  4.569911e-07
 293  8.341637e-07  1.087679e-07  1.741116e-07
 295  1.588509e-06  4.569911e-07  1.447470e-08
 297  7.398706e-07  4.569911e-07  4.859405e-07
 299  7.398706e-07  2.684048e-07  2.030610e-07
 301  1.211336e-06  6.745268e-07  7.981846e-08
 303  5.512843e-07  1.741116e-07  1.087679e-07
 305  1.022750e-06  7.981846e-08  1.087679e-07
 307  2.684048e-07  2.973542e-07  2.684048e-07
 309  1.305630e-06  1.447470e-08  7.981846e-08
 311  6.455774e-07  2.030610e-07  2.684048e-07
 313  7.398706e-07  1.447470e-08  3.626979e-07
 315  1.777095e-06  3.916473e-07  1.447470e-08
 317  8.341637e-07  1.741116e-07  2.030610e-07
 319  6.455774e-07  2.684048e-07  4.569911e-07
 321  6.455774e-07  2.030610e-07  2.973542e-07
 323  6.455774e-07  1.087679e-07  7.981846e-08
 325  7.398706e-07  1.447470e-08  1.087679e-07
 327  7.398706e-07  2.973542e-07  1.087679e-07
 329  1.022750e-06  2.973542e-07  2.973542e-07
 331  1.022750e-06  5.802337e-07  7.981846e-08
 333  1.211336e-06  2.030610e-07  5.512843e-07
 335  4.569911e-07  2.030610e-07  6.745268e-07
 337  1.305630e-06  2.684048e-07  2.684048e-07
 339  5.512843e-07  1.741116e-07  2.030610e-07
 341  1.741116e-07  2.684048e-07  1.447470e-08
 343  9.284569e-07  3.916473e-07  1.087679e-07
 345  7.981846e-08  7.981846e-08  1.447470e-08
 347  6.455774e-07  1.087679e-07  3.626979e-07
 349  6.455774e-07  7.688200e-07  1.087679e-07
 351  3.626979e-07  2.684048e-07  3.916473e-07
 353  4.569911e-07  1.447470e-08  2.030610e-07
 355  5.512843e-07  2.030610e-07  3.916473e-07
 357  6.455774e-07  6.745268e-07  2.973542e-07
 359  9.284569e-07  2.684048e-07  7.981846e-08
 361  4.569911e-07  4.569911e-07  7.981846e-08
 363  5.512843e-07  1.087679e-07  2.973542e-07
 365  1.211336e-06  1.087679e-07  6.745268e-07
 367  4.569911e-07  7.398706e-07  2.973542e-07
 369  6.455774e-07  4.859405e-07  2.030610e-07
 371  4.569911e-07  1.741116e-07  1.022750e-06
 373  7.981846e-08  5.512843e-07  5.512843e-07
 375  2.684048e-07  5.802337e-07  2.030610e-07
 377  5.512843e-07  8.341637e-07  1.087679e-07
 379  1.087679e-07  1.447470e-08  1.447470e-08
 381  1.741116e-07  4.859405e-07  1.117043e-06
 383  5.512843e-07  1.087679e-07  1.087679e-07
 385  6.455774e-07  3.916473e-07  1.741116e-07
 387  4.569911e-07  1.741116e-07  3.626979e-07
 389  7.398706e-07  2.973542e-07  3.626979e-07
 391  7.981846e-08  5.802337e-07  4.569911e-07
 393  2.684048e-07  3.916473e-07  4.569911e-07
 395  1.022750e-06  4.569911e-07  2.684048e-07
 397  2.684048e-07  7.981846e-08  1.087679e-07
 399  1.741116e-07  2.973542e-07  3.626979e-07
 401  3.916473e-07  6.745268e-07  2.030610e-07
 403  4.569911e-07  2.030610e-07  7.981846e-08
 405  6.455774e-07  1.447470e-08  6.745268e-07
 407  3.626979e-07  1.741116e-07  7.981846e-08
 409  1.022750e-06  2.973542e-07  7.981846e-08
 411  5.512843e-07  3.626979e-07  1.447470e-08
 413  1.741116e-07  4.569911e-07  2.973542e-07
 415  5.512843e-07  7.981846e-08  6.745268e-07
 417  3.626979e-07  3.916473e-07  2.030610e-07
 419  3.626979e-07  3.916473e-07  3.626979e-07
 421  1.087679e-07  2.684048e-07  2.973542e-07
 423  1.447470e-08  6.745268e-07  3.626979e-07
 425  1.087679e-07  4.569911e-07  1.447470e-08
 427  3.626979e-07  3.626979e-07  3.626979e-07
 429  1.741116e-07  6.455774e-07  7.981846e-08
 431  7.981846e-08  3.916473e-07  3.916473e-07
 433  1.741116e-07  1.087679e-07  3.916473e-07
 435  7.398706e-07  4.569911e-07  2.030610e-07
 437  1.447470e-08  1.447470e-08  6.455774e-07
 439  7.981846e-08  1.617458e-06  4.859405e-07
 441  3.626979e-07  1.447470e-08  5.512843e-07
 443  1.447470e-08  4.859405e-07  4.859405e-07
 445  5.512843e-07  7.981846e-08  1.447470e-08
 447  5.512843e-07  2.030610e-07  1.087679e-07
 449  7.398706e-07  4.859405e-07  2.030610e-07
 451  7.398706e-07  2.030610e-07  1.741116e-07
 453  2.684048e-07  1.087679e-07  7.688200e-07
 455  2.684048e-07  2.684048e-07  2.684048e-07
 457  5.512843e-07  2.684048e-07  7.981846e-08
 459  3.626979e-07  4.859405e-07  1.087679e-07
 461  8.341637e-07  2.684048e-07  3.916473e-07
 463  7.981846e-08  7.981846e-08  4.569911e-07
 465  5.512843e-07  7.981846e-08  4.569911e-07
 467  2.684048e-07  5.512843e-07  4.569911e-07
 469  6.455774e-07  3.626979e-07  3.626979e-07
 471  4.569911e-07  1.240286e-06  5.512843e-07
 473  4.569911e-07  1.447470e-08  2.684048e-07
 475  7.981846e-08  2.030610e-07  2.973542e-07
 477  2.973542e-07  3.916473e-07  1.741116e-07
 479  1.741116e-07  2.973542e-07  6.745268e-07
 481  2.684048e-07  1.741116e-07  1.087679e-07
 483  3.626979e-07  2.030610e-07  3.916473e-07
