# omega0=1, alpha=1.7
# theta0=0.5, theta_dot0=0
# t_start=0, t_end=50, h=0.00911928
#   t          x(t)                 v(t)       
0  5.000000000000000e-01  0.000000000000000e+00
9.119282013323059e-02 4.981068005193518e-01 -4.045055010547259e-02
1.823856402664613e-01 4.928072401982187e-01 -7.481833747927745e-02
2.735784603996920e-01 4.846264125067125e-01 -1.037429214870485e-01
3.647712805329227e-01 4.740337243176413e-01 -1.278066921811723e-01
4.559641006661534e-01 4.614479251403846e-01 -1.475389531802653e-01
5.471569207993838e-01 4.472417559007927e-01 -1.634201448167888e-01
6.383497409326140e-01 4.317462137832764e-01 -1.758860147364655e-01
7.295425610658441e-01 4.152544443178074e-01 -1.853316051176670e-01
8.207353811990743e-01 3.980252814585331e-01 -1.921149755884163e-01
9.119282013323045e-01 3.802864619466431e-01 -1.965606193117812e-01
1.003121021465535e+00 3.622375427698029e-01 -1.989625579507493e-01
1.094313841598765e+00 3.440525508751501e-01 -1.995871209674666e-01
1.185506661731995e+00 3.258823931607721e-01 -1.986754276247381e-01
1.276699481865225e+00 3.078570527135254e-01 -1.964455976704017e-01
1.367892301998455e+00 2.900875947000434e-01 -1.930947203292436e-01
1.459085122131685e+00 2.726680025622087e-01 -1.888006120174986e-01
1.550277942264916e+00 2.556768624357064e-01 -1.837233920368367e-01
1.641470762398146e+00 2.391789111442467e-01 -1.780069031122493e-01
1.732663582531376e+00 2.232264608091305e-01 -1.717800005587348e-01
1.823856402664606e+00 2.078607110971607e-01 -1.651577305007513e-01
1.915049222797836e+00 1.931129584212225e-01 -1.582424142144487e-01
2.006242042931067e+00 1.790057099970403e-01 -1.511246525093348e-01
2.097434863064297e+00 1.655537095224622e-01 -1.438842612322815e-01
2.188627683197527e+00 1.527648803497786e-01 -1.365911465245543e-01
2.279820503330757e+00 1.406411913310825e-01 -1.293061264116170e-01
2.371013323463987e+00 1.291794499952127e-01 -1.220817036458689e-01
2.462206143597217e+00 1.183720273279116e-01 -1.149627934246657e-01
2.553398963730448e+00 1.082075181433230e-01 -1.079874086287413e-01
2.644591783863678e+00 9.867134082770766e-02 -1.011873045227319e-01
2.735784603996908e+00 8.974628008249509e-02 -9.458858438206458e-02
2.826977424130138e+00 8.141297617501816e-02 -8.821226721316613e-02
