# omega0=1, alpha=0.3
# theta0=0.5, theta_dot0=0
# t_start=0, t_end=50, h=0.00911928
#   t          x(t)                 v(t)       
5.562762028127043e+00 1.211864729019240e-01 1.611105068339984e-01
5.653954848260273e+00 1.351617451116109e-01 1.452505371465691e-01
5.745147668393503e+00 1.476552278889116e-01 1.286386723410531e-01
5.836340488526734e+00 1.586055107319267e-01 1.114319912751686e-01
5.927533308659964e+00 1.679655186372418e-01 9.378759026121428e-02
6.018726128793194e+00 1.757024536588853e-01 7.586128196455781e-02
6.109918948926424e+00 1.817976221174836e-01 5.780638913203327e-02
6.201111769059654e+00 1.862461561825265e-01 3.977263416314331e-02
6.292304589192884e+00 1.890566384830274e-01 2.190512218004649e-02
6.383497409326115e+00 1.902506380710441e-01 4.343412849102871e-03
6.474690229459345e+00 1.898621655575721e-01 -1.277932521028644e-02
6.565883049592575e+00 1.879370546498418e-01 -2.933708406410636e-02
6.657075869725805e+00 1.845322767252655e-01 -4.521171640768994e-02
6.748268689859035e+00 1.797151945509290e-01 -6.029357099823819e-02
6.839461509992265e+00 1.735627608543296e-01 -7.448206716558975e-02
6.930654330125495e+00 1.661606672092328e-01 -8.768621007921355e-02
7.021847150258726e+00 1.576024486397608e-01 -9.982504642386540e-02
7.113039970391956e+00 1.479885494674445e-01 -1.108280581934346e-01
7.204232790525186e+00 1.374253562141904e-01 -1.206354906288017e-01
7.295425610658416e+00 1.260242037983484e-01 -1.291986090478048e-01
7.386618430791646e+00 1.139003617790048e-01 -1.364798785527234e-01
7.477811250924876e+00 1.011720079649536e-01 -1.424530604189699e-01
7.569004071058107e+00 8.795919725526724e-02 -1.471032193881258e-01
7.660196891191337e+00 7.438283406398452e-02 -1.504266370839787e-01
7.751389711324567e+00 6.056365705237132e-02 -1.524306282749084e-01
7.842582531457797e+00 4.662124510648869e-02 -1.531332586175652e-01
7.933775351591027e+00 3.267305352402312e-02 -1.525629647064455e-01
8.024968171724257e+00 1.883348919365956e-02 -1.507580795769700e-01
8.116160991857488e+00 5.213033157361708e-03 -1.477662691168579e-01
8.207353811990718e+00 -8.082581651216947e-03 -1.436438869898445e-01
8.298546632123948e+00 -2.095313048007728e-02 -1.384552575423755e-01
8.389739452257178e+00 -3.330458856642551e-02 -1.322718976488994e-01
8.480932272390408e+00 -4.504974965078663e-02 -1.251716894875507e-01
8.572125092523638e+00 -5.610876729259182e-02 -1.172380167927128e-01
8.663317912656868e+00 -6.640961623328361e-02 -1.085588772060396e-01
8.754510732790099e+00 -7.588847219025745e-02 -9.922598297649574e-02
8.845703552923329e+00 -8.449000955025206e-02 -8.933386150282832e-02
8.936896373056559e+00 -9.216761743241385e-02 -7.897896614830335e-02
9.028089193189789e+00 -9.888353548536934e-02 -6.825880647927210e-02
9.119282013323019e+00 -1.046089115540385e-01 -5.727110568212424e-02
9.210474833456249e+00 -1.093237839940668e-01 -4.611299149031189e-02
9.301667653589480e+00 -1.130169919261827e-01 -3.488022558787566e-02
