# omega0=1, alpha=1
# theta0=0.5, theta_dot0=0
# t_start=0, t_end=50, h=0.00911928
#   t          x(t)                 v(t)       
9.940017394522091e+00 -7.528815468384078e-04 -3.040099575690231e-03
1.003121021465532e+01 -1.014449060397363e-03 -2.697710837626150e-03
1.012240303478855e+01 -1.245161318468031e-03 -2.363737010788248e-03
1.021359585492178e+01 -1.445875134565712e-03 -2.040097325421910e-03
1.030478867505501e+01 -1.617610912886313e-03 -1.728461652704105e-03
1.039598149518824e+01 -1.761530285131388e-03 -1.430258974945802e-03
1.048717431532147e+01 -1.878914574731550e-03 -1.146687031067761e-03
1.057836713545470e+01 -1.971144187422484e-03 -8.787229582414222e-04
1.066955995558793e+01 -2.039679011139907e-03 -6.271347582917382e-04
1.076075277572116e+01 -2.086039892947234e-03 -3.924934258557251e-04
1.085194559585439e+01 -2.111791246249429e-03 -1.751855842511133e-04
1.094313841598762e+01 -2.118524827924555e-03 2.457351558724998e-05
1.103433123612085e+01 -2.107844712255787e-03 2.067267680136218e-04
1.112552405625408e+01 -2.081353476696439e-03 3.713618823762712e-04
1.121671687638731e+01 -2.040639603564329e-03 5.186980643992050e-04
1.130790969652054e+01 -1.987266091746901e-03 6.490728140082319e-04
1.139910251665377e+01 -1.922760263403789e-03 7.629289343087542e-04
1.149029533678700e+01 -1.848604742471127e-03 8.608018364884399e-04
1.158148815692023e+01 -1.766229574487024e-03 9.433072156773618e-04
1.167268097705346e+01 -1.677005450849881e-03 1.011129163311607e-03
1.176387379718669e+01 -1.582237995064998e-03 1.065008772366734e-03
1.185506661731992e+01 -1.483163063799985e-03 1.105733283000785e-03
1.194625943745315e+01 -1.380943011621949e-03 1.134125807711937e-03
1.203745225758638e+01 -1.276663865091842e-03 1.151035667106018e-03
1.212864507771961e+01 -1.171333349403900e-03 1.157329359810444e-03
1.221983789785284e+01 -1.065879708938487e-03 1.153882182984230e-03
1.231103071798607e+01 -9.611512619012763e-04 1.141570513273773e-03
1.240222353811930e+01 -8.579166286055389e-04 1.121264751960900e-03
1.249341635825254e+01 -7.568655728719036e-04 1.093822932448492e-03
1.258460917838577e+01 -6.586103964253418e-04 1.060084983130508e-03
1.267580199851900e+01 -5.636878270167110e-04 1.020867634094089e-03
1.276699481865223e+01 -4.725613422406225e-04 9.769599519947926e-04
1.285818763878546e+01 -3.856238726182728e-04 9.291194838214298e-04
1.294938045891869e+01 -3.032008294197833e-04 8.780689871114180e-04
1.304057327905192e+01 -2.255534048734825e-04 8.244937214751257e-04
1.313176609918515e+01 -1.528820948088940e-04 7.690392740204566e-04
1.322295891931838e+01 -8.533039636720277e-05 7.123098894169426e-04
1.331415173945161e+01 -2.298863615073042e-05 6.548672738804618e-04
