# omega0=1, alpha=4
# theta0=0.5, theta_dot0=0
# t_start=0, t_end=50, h=0.00911928
#   t          x(t)                 v(t)       
0  5.000000000000000e-01  0.000000000000000e+00
9.119282013323059e-02 4.989677626508798e-01 -2.133629036843702e-02
1.823856402664613e-01 4.963080645878004e-01 -3.608282021159165e-02
2.735784603996920e-01 4.925262118770387e-01 -4.622319685261751e-02
3.647712805329227e-01 4.879745240942323e-01 -5.316209407543886e-02
4.559641006661534e-01 4.828970222404231e-01 -5.789344431502016e-02
5.471569207993838e-01 4.774611340961216e-01 -6.111975612167311e-02
6.383497409326140e-01 4.717801910236982e-01 -6.333673411145800e-02
7.295425610658441e-01 4.659293945861642e-01 -6.489328269394198e-02
8.207353811990743e-01 4.599571527295735e-01 -6.603405349481378e-02
9.119282013323045e-01 4.538931325189039e-01 -6.692961732488784e-02
1.003121021465535e+00 4.477539842774162e-01 -6.769786419376700e-02
1.094313841598765e+00 4.415474139119311e-01 -6.841918617729306e-02
1.185506661731995e+00 4.352750830838345e-01 -6.914725406031505e-02
1.276699481865225e+00 4.289346771681912e-01 -6.991667123547193e-02
1.367892301998455e+00 4.225213819223837e-01 -7.074841446761865e-02
1.459085122131685e+00 4.160289396097011e-01 -7.165370615869378e-02
1.550277942264916e+00 4.094504055899662e-01 -7.263677496369927e-02
1.641470762398146e+00 4.027786911432685e-01 -7.369682852926804e-02
1.732663582531376e+00 3.960069533138946e-01 -7.482946781227640e-02
1.823856402664606e+00 3.891288748590774e-01 -7.602770559086601e-02
1.915049222797836e+00 3.821388648421491e-01 -7.728270439982776e-02
2.006242042931067e+00 3.750322015204283e-01 -7.858431553535594e-02
2.097434863064297e+00 3.678051328805712e-01 -7.992147696256112e-02
2.188627683197527e+00 3.604549457139645e-01 -8.128251107585023e-02
2.279820503330757e+00 3.529800109674798e-01 -8.265535129006911e-02
2.371013323463987e+00 3.453798108715976e-01 -8.402771794970730e-02
2.462206143597217e+00 3.376549517698857e-01 -8.538725802150111e-02
2.553398963730448e+00 3.298071654605647e-01 -8.672165876453720e-02
2.644591783863678e+00 3.218393010772789e-01 -8.801874254263743e-02
2.735784603996908e+00 3.137553089863732e-01 -8.926654779574780e-02
2.826977424130138e+00 3.055602177938733e-01 -9.045339966460028e-02
2.918170244263368e+00 2.972601052887063e-01 -9.156797268482267e-02
3.009363064396598e+00 2.888620639651258e-01 -9.259934720441725e-02
3.100555884529828e+00 2.803741616424203e-01 -9.353706064096770e-02
3.191748704663059e+00 2.718053976164149e-01 -9.437115431738843e-02
3.282941524796289e+00 2.631656547226427e-01 -9.509221635159046e-02
3.374134344929519e+00 2.544656476565273e-01 -9.569142089347502e-02
3.465327165062749e+00 2.457168678751728e-01 -9.616056387896353e-02
3.556519985195979e+00 2.369315253938874e-01 -9.649209538877764e-02
3.647712805329209e+00 2.281224877851370e-01 -9.667914864755765e-02
3.738905625462440e+00 2.193032166859141e-01 -9.671556566815520e-02
3.830098445595670e+00 2.104877021198760e-01 -9.659591953042053e-02
3.921291265728900e+00 2.016903949418587e-01 -9.631553327907470e-02
4.012484085862130e+00 1.929261377137034e-01 -9.587049542804563e-02
4.103676905995361e+00 1.842100943211491e-01 -9.525767206654316e-02
4.194869726128591e+00 1.755576786414895e-01 -9.447471557335420e-02
4.286062546261821e+00 1.669844825705077e-01 -9.352006995899856e-02
4.377255366395051e+00 1.585062037147750e-01 -9.239297286947512e-02
4.468448186528281e+00 1.501385730516726e-01 -9.109345429957107e-02
4.559641006661511e+00 1.418972828544852e-01 -8.962233207751734e-02
4.650833826794742e+00 1.337979151736836e-01 -8.798120419572270e-02
4.742026646927972e+00 1.258558711581518e-01 -8.617243807409806e-02
4.833219467061202e+00 1.180863014917369e-01 -8.419915685289303e-02
4.924412287194432e+00 1.105040382112467e-01 -8.206522282089415e-02
5.015605107327662e+00 1.031235281620145e-01 -7.977521809224701e-02
5.106797927460892e+00 9.595876833654177e-02 -7.733442265108958e-02
5.197990747594122e+00 8.902324333064482e-02 -7.474878988771322e-02
5.289183567727353e+00 8.232986514008972e-02 -7.202491975322990e-02
5.380376387860583e+00 7.589091550901517e-02 -6.917002966189238e-02
5.471569207993813e+00 6.971799102960158e-02 -6.619192327147970e-02
5.562762028127043e+00 6.382195118052091e-02 -6.309895727274248e-02
5.653954848260273e+00 5.821286947974851e-02 -5.990000631901501e-02
5.745147668393503e+00 5.289998791536674e-02 -5.660442622696802e-02
5.836340488526734e+00 4.789167480605527e-02 -5.322201557930269e-02
5.927533308659964e+00 4.319538623103676e-02 -4.976297586016560e-02
6.018726128793194e+00 3.881763115731117e-02 -4.623787025436033e-02
6.109918948926424e+00 3.476394038002704e-02 -4.265758124218184e-02
6.201111769059654e+00 3.103883937976278e-02 -3.903326712300325e-02
6.292304589192884e+00 2.764582518826693e-02 -3.537631760266624e-02
6.383497409326115e+00 2.458734734177918e-02 -3.169830858228784e-02
6.474690229459345e+00 2.186479298836372e-02 -2.801095628928145e-02
6.565883049592575e+00 1.947847620267983e-02 -2.432607089514384e-02
6.657075869725805e+00 1.742763154824265e-02 -2.065550976878868e-02
6.748268689859035e+00 1.571041191345282e-02 -1.701113051878818e-02
6.839461509992265e+00 1.432389063347109e-02 -1.340474398266093e-02
6.930654330125495e+00 1.326406789537374e-02 -9.848067326142624e-03
7.021847150258726e+00 1.252588140895292e-02 -6.352677420000896e-03
7.113039970391956e+00 1.210322131004831e-02 -2.929964666204509e-03
7.204232790525186e+00 1.198894924745629e-02 4.089125510768727e-04
7.295425610658416e+00 1.217492158832259e-02 3.653072611285192e-03
7.386618430791646e+00 1.265201666056442e-02 6.791954419837209e-03
7.477811250924876e+00 1.341016593438601e-02 9.815360006022678e-03
7.569004071058107e+00 1.443838902845839e-02 1.271349577596797e-02
7.660196891191337e+00 1.572483240995552e-02 1.547701224216351e-02
7.751389711324567e+00 1.725681164150751e-02 1.809704205453069e-02
7.842582531457797e+00 1.902085701238849e-02 2.056523616304255e-02
7.933775351591027e+00 2.100276237604478e-02 2.287379794852483e-02
8.024968171724257e+00 2.318763700153122e-02 2.501551516642390e-02
8.116160991857488e+00 2.555996023269742e-02 2.698378955797036e-02
8.207353811990718e+00 2.810363873618389e-02 2.877266399418874e-02
8.298546632123948e+00 3.080206610756770e-02 3.037684703046964e-02
8.389739452257178e+00 3.363818459444749e-02 3.179173476276270e-02
8.480932272390408e+00 3.659454868596516e-02 3.301342989067831e-02
8.572125092523638e+00 3.965339031030046e-02 3.403875790769150e-02
8.663317912656868e+00 4.279668537509428e-02 3.486528035400257e-02
8.754510732790099e+00 4.600622138058954e-02 3.549130508319856e-02
8.845703552923329e+00 4.926366583153523e-02 3.591589350945329e-02
8.936896373056559e+00 5.255063517156942e-02 3.613886481738488e-02
9.028089193189789e+00 5.584876396285292e-02 3.616079713165975e-02
9.119282013323019e+00 5.913977403412068e-02 3.598302565781052e-02
9.210474833456249e+00 6.240554332199126e-02 3.560763781937131e-02
9.301667653589480e+00 6.562817413325384e-02 3.503746542920548e-02
9.392860473722710e+00 6.879006055985183e-02 3.427607394471859e-02
9.484053293855940e+00 7.187395478331532e-02 3.332774886746289e-02
9.575246113989170e+00 7.486303201136564e-02 3.219747935742757e-02
9.666438934122400e+00 7.774095379623434e-02 3.089093914109056e-02
9.757631754255630e+00 8.049192949181291e-02 2.941446480013007e-02
9.848824574388860e+00 8.310077561499783e-02 2.777503153463434e-02
9.940017394522091e+00 8.555297288543820e-02 2.598022650080808e-02
1.003121021465532e+01 8.783472072726854e-02 2.403821982867328e-02
1.012240303478855e+01 8.993298902625980e-02 2.195773343023411e-02
1.021359585492178e+01 9.183556694610702e-02 1.974800771316066e-02
1.030478867505501e+01 9.353110861826341e-02 1.741876631938398e-02
1.039598149518824e+01 9.500917553081187e-02 1.498017901222043e-02
1.048717431532147e+01 9.626027545332980e-02 1.244282283987884e-02
1.057836713545470e+01 9.727589774656045e-02 9.817641707553962e-03
1.066955995558793e+01 9.804854491796486e-02 7.115904494857305e-03
1.076075277572116e+01 9.857176029691635e-02 4.349161860137151e-03
1.085194559585439e+01 9.884015171643785e-02 1.529201878321358e-03
